tweetid,tweet,created_time,author,language
1648074098931556352,MKR IN GOOD PROFIT 💸 Binance Futures #MKR/#USDT Take-Profit target 2 ✅ Profit: 54.3672% 📈 Period: 16 Hours 13 Minutes ⏰,2023-04-17 21:20:59+00:00,signal guy!,en
1648041807811342354,"The current price of one $MKR coin is: $786.99, +0.21272% change in the last hour, -0.00908% change in the last 24 hours. 24H Volume: $40,869,964. Market Cap: $708,921,752. #MKR #MakerDao",2023-04-17 19:12:40+00:00,MakerDao Live,en
1648037846295678976,"$Bitcoin TO $100,000 SOONER THAN YOU THINK‼️💯🙏 #Bitcoin TO $100,000 WHETHER YOU BELIEVE OR NOT‼️💯🙏 $BKKT $CORZQ #StocksInFocus Linked to #BTC #Bitcoin #BTC #SHIB #HOGE #SAITAMA #BNB #DOGE #ETH #BabyFloki #LTC #XRP #ADA #SOL #DASH #MATIC #MKR #AXS #ENJ #AltCoinSeason https://t.co/cMO3o2zca0",2023-04-17 18:56:56+00:00,SHIB Bezos,en
1648029473919365139,#mkrusdt BUY LOW LONG 790.62 (50.0 USD) #MKR $MKR #Maker #cryptotrading https://t.co/iedEvBNDgL,2023-04-17 18:23:40+00:00,M3GAB0T,en
1648026673504219145,"The current price of one $MKR coin is: $786.37, +0.54504% change in the last hour, -0.2102% change in the last 24 hours. 24H Volume: $41,080,243. Market Cap: $708,539,254. #MKR #MakerDao",2023-04-17 18:12:32+00:00,MakerDao Live,en
1648016565156335616,"$MKR Maker #MKR #Maker #Crypto @ ~$783 with ~$765 Million Market Cap 🤔 Float = 977,631 &amp; is 97.22% to full dilution 🧐 If it goes it could do something crazy like a 400x-500x multiplier if it achieves solid real world 🌎 utility + adoption https://t.co/2EqJTftNf8",2023-04-17 17:32:22+00:00,🇺🇸 The Homeless Millionaire™️ 🇺🇸,en
1648012511415771144,"The current price of one $MKR coin is: $784.85, -0.32426% change in the last hour, +0.86066% change in the last 24 hours. 24H Volume: $41,269,427. Market Cap: $708,582,734. #MKR #MakerDao",2023-04-17 17:16:15+00:00,MakerDao Live,en
1648010112659759110,Binance Futures #MKR/#USDT Take-Profit target 1 ✅ Profit: 26.178% 📈 Period: 31 Minutes ⏰ https://t.co/WHX2GbmANq,2023-04-17 17:06:44+00:00,signal guy!,en
1647997525658312715,"🟢🟢 The current price of one $MKR coin is: $786.7, -0.67448% change in the last hour, +1.30206% change in the last 24 hours. 24H Volume: $40,992,086. Market Cap: $709,881,326. #MKR #MakerDao",2023-04-17 16:16:43+00:00,MakerDao Live,en
1647994878557835264,Track all coins at a glance and catch runs. Try https://t.co/LRb24FEYMt so you can find out where #cryptocurrencies are moving #BTC #ETH #INJ #RNDR #AVAX #RPL #LRC #DYDX #MANA #FTM #CSPR #LEO #MKR #ICP #LINK #ZIL #SOL #DOGE #FLR #CHZ https://t.co/509NGWJutL,2023-04-17 16:06:11+00:00,Adz Hickman,en
1647981824453246979,"🟢🟢 The current price of one $MKR coin is: $791.97, -0.67224% change in the last hour, +2.49959% change in the last 24 hours. 24H Volume: $40,923,490. Market Cap: $713,765,260. #MKR #MakerDao",2023-04-17 15:14:19+00:00,MakerDao Live,en
1647967900819488772,"🟢🟢 The current price of one $MKR coin is: $797.08, +0.43391% change in the last hour, +2.49334% change in the last 24 hours. 24H Volume: $41,064,235. Market Cap: $718,840,662. #MKR #MakerDao",2023-04-17 14:18:59+00:00,MakerDao Live,en
1647964454754340864,Find moving cryptocurrencies with the most buyers by using https://t.co/LRb24FEYMt to track where most #ALTCOIN movement is happening! #BTC #ETH #RNDR #AVAX #LRC #INJ #DYDX #FTM #SOL #CSPR #ICP #MANA #GRT #ZIL #MKR #DOGE #CHZ #LINK #LEO #RPL https://t.co/SwCyuLQHy9,2023-04-17 14:05:18+00:00,Adz Hickman,en
1647951767974313987,"🟢🟢 The current price of one $MKR coin is: $794.79, +0.31832% change in the last hour, +2.17103% change in the last 24 hours. 24H Volume: $41,296,404. Market Cap: $716,103,117. #MKR #MakerDao",2023-04-17 13:14:53+00:00,MakerDao Live,en
1647951715977637891,#mkrusdt SELL LONG Position Closed 795.31 (0.55 % 21.2 of 21.2 USD) #MKR $MKR #Maker #cryptotrading https://t.co/RldsSu3OW7,2023-04-17 13:14:41+00:00,M3GAB0T,en
1647940719737200640,MARKET OVERVIEW TOP PROJECTS BY #TVL: #Lido $LDO #MakerDAO #MKR #Aave $AAVE #Hex #HEX #CurveDAO $CRV TOP CHAINS BY #TVL: #Ethereum $ETH #BNBchain $BNB #Tron $TRX #Arbitrum $ARB #Avalanche $AVAX TRENDING ASSETS: $ARB $TOMI $RDNT $ID $INJ $ETH https://t.co/5TqFVcQTAx,2023-04-17 12:30:59+00:00,Cryptogics,en
1647935868911382529,"🟢🟢 The current price of one $MKR coin is: $788.39, -0.18062% change in the last hour, +2.08773% change in the last 24 hours. 24H Volume: $40,556,649. Market Cap: $709,536,243. #MKR #MakerDao",2023-04-17 12:11:42+00:00,MakerDao Live,en
1647934379216216064,#mkrusdt BUY LOW LONG 794.16 (50.0 USD) #MKR $MKR #Maker #cryptotrading https://t.co/9T1N7pw84l,2023-04-17 12:05:47+00:00,M3GAB0T,en
1647934340540792832,Track where the buyers are going on #ALTCOINS with https://t.co/LRb24FEYMt so you can jump in before everyone else #cryptoscanner #BTC #ETH #RNDR #LRC #AVAX #INJ #DYDX #RPL #FTM #ICP #DOGE #MANA #SOL #TWT #CSPR #GRT #BNB #LEO #MKR #CHZ https://t.co/ptFNg9xQKj,2023-04-17 12:05:38+00:00,Adz Hickman,en
1647930071800332288,Top 5 #cryptocurrency #price jumps in last minute on #Bybit 👉https://t.co/oSeMfIKpqH $3P 4.05% $BABYDOGE 0.76% $QNT 0.43% $MKR 0.4% $HOOK 0.39% #3P #BABYDOGE #QNT #MKR #HOOK #crypto #cryptonews #cryptoAlerts #blockchain,2023-04-17 11:48:40+00:00,Crypto Frog,en
1647921192609927173,#MKR #MKRimg : 1hour 1min sri low 2023-04-17 20:13:23.737199 https://t.co/vPTw1AaU9d,2023-04-17 11:13:23+00:00,Cryptocurrency bot SRI,en
1647906103739416576,"In the past hour, $MKR has gained 3 new holders. The total number of $MKR holders is now 94,610. #MKR #MakerDao https://t.co/CMB7HE587H",2023-04-17 10:13:26+00:00,MakerDao Live,en
1647905999578079239,"🟢🟢 The current price of one $MKR coin is: $797.55, -0.69872% change in the last hour, +1.54026% change in the last 24 hours. 24H Volume: $39,731,683. Market Cap: $719,825,197. #MKR #MakerDao",2023-04-17 10:13:01+00:00,MakerDao Live,en
1647904353876078592,Track all coins at a glance and catch runs. Try https://t.co/LRb24FEYMt so you can find out where #cryptocurrencies are moving #BTC #ETH #RNDR #RPL #AVAX #FTM #INJ #LRC #DYDX #ICP #DOGE #CSPR #SOL #MANA #TWT #BNB #LTC #MKR #CVX #CHZ https://t.co/TtjWp3Ktbk,2023-04-17 10:06:29+00:00,Adz Hickman,en
1647900809718296579,Binance - BTC Market #MKR - Unusual selling activity 4.27 BTC in 5 minutes (37%) P: 0.02662000 🔴 (0.19%) 24H Vol: 15.72 BTC,2023-04-17 09:52:24+00:00,Whale Sniper,en
1647873909226876928,#ALTCOINS are going up! Use https://t.co/LRb24FEYMt to find where CRYPTO MONEY is moving. Find coins with HIGH buyer % and moving in PRICE! #BTC #ETH #RNDR #RPL #CSPR #AVAX #ICP #INJ #FTM #SOL #TWT #BNB #DOGE #LTC #MKR #MANA #ZIL #LRC #LEO #DYDX https://t.co/2DbNxpGjgz,2023-04-17 08:05:30+00:00,Adz Hickman,en
1647866494192107522,"🟢🟢 The current price of one $MKR coin is: $804.92, -0.27209% change in the last hour, +2.51132% change in the last 24 hours. 24H Volume: $39,625,539. Market Cap: $726,971,491. #MKR #MakerDao",2023-04-17 07:36:02+00:00,MakerDao Live,en
1647862444042207232,#MKR 16.5% ✅- im out here - thx for the play - shared at @CryptoGoatss @TheCryptoKazi https://t.co/7J9RUrUMR8 https://t.co/anMDxrJijc,2023-04-17 07:19:57+00:00,Lala,en
1647855972889534464,$MKR H2 ☀️😍 #mkrusdt #MKR #Binance Entry Signal Time: 06/04/2023 Direction: Long % move: 16% #Crypto #TradingView #cryptocurrency #cryptomarket #cryptonewstoday Request your trial for 10€ only : https://t.co/ptEoRUaCDC https://t.co/AL6Ou8y1cT,2023-04-17 06:54:14+00:00,Best Trading Indicator,en
1647853275062968321,"🟢🟢 The current price of one $MKR coin is: $806.72, -0.69363% change in the last hour, +1.58765% change in the last 24 hours. 24H Volume: $39,777,713. Market Cap: $726,971,486. #MKR #MakerDao",2023-04-17 06:43:31+00:00,MakerDao Live,en
1647843671675633664,#ALTCOINS and #BITCOIN are making a comeback. Use Cryptolume's advanced #cryptoscreener to catch quick opportunities #BTC #ETH #RPL #RNDR #AVAX #CSPR #FTM #LRC #SOL #BNB #TWT #INJ #ROSE #LTC #CHZ #LINK #MKR #DASH #ZIL #DYDX https://t.co/BowdI58dK9,2023-04-17 06:05:21+00:00,Adz Hickman,en
1647830594028544000,"🟢🟢🟢🟢 The current price of one $MKR coin is: $814.73, +1.00731% change in the last hour, +3.94416% change in the last 24 hours. 24H Volume: $39,742,686. Market Cap: $734,751,651. #MKR #MakerDao",2023-04-17 05:13:23+00:00,MakerDao Live,en
1647815815360569344,"🟢🟢 The current price of one $MKR coin is: $801.61, +0.12075% change in the last hour, +2.18971% change in the last 24 hours. 24H Volume: $39,022,237. Market Cap: $722,653,825. #MKR #MakerDao",2023-04-17 04:14:39+00:00,MakerDao Live,en
1647814471115472896,MKRUSDT 4h Bearish divergence #mkr #eth #btc #cryptotrading #cryptocurrency #Crypto #Binance #blockchain #Ethereum #cryptobot https://t.co/Ae2TdwBgab,2023-04-17 04:09:19+00:00,Bingo Crypto Scanner,en
1647813454538100737,"FORGET #BITCOIN, #ALTCOINS are MOVING! With https://t.co/LRb24FEYMt you can track all the top performers with the current run. #BTC #ETH #RNDR #RPL #INJ #AVAX #CSPR #SOL #FTM #BNB #DYDX #KAVA #SNX #ZIL #CHZ #MKR #MINA #LTC #LDO #AXS https://t.co/MyWu4B5Ixl",2023-04-17 04:05:17+00:00,Adz Hickman,en
1647800274176573440,"In the past hour, $MKR has gained 25 new holders. The total number of $MKR holders is now 94,611. #MKR #MakerDao https://t.co/CMB7HE587H",2023-04-17 03:12:54+00:00,MakerDao Live,en
1647800240039247872,"🟢🟢 The current price of one $MKR coin is: $799.13, +0.95658% change in the last hour, +1.99554% change in the last 24 hours. 24H Volume: $39,072,196. Market Cap: $717,694,833. #MKR #MakerDao",2023-04-17 03:12:46+00:00,MakerDao Live,en
1647785358417973251,"🟢🟢 The current price of one $MKR coin is: $791.73, +0.68517% change in the last hour, +1.32522% change in the last 24 hours. 24H Volume: $39,158,808. Market Cap: $713,537,581. #MKR #MakerDao",2023-04-17 02:13:38+00:00,MakerDao Live,en
1647770769789800450,"🟢🟢 The current price of one $MKR coin is: $788.19, -1.19827% change in the last hour, +1.55005% change in the last 24 hours. 24H Volume: $35,534,764. Market Cap: $711,775,517. #MKR #MakerDao",2023-04-17 01:15:40+00:00,MakerDao Live,en
1647766838674092033,"!!! SELL !!! #MKRUSDT Entry Price = 801,00000000 Signal Date = 4.16.2023 Telegram Channel in BIO For More Signals #MKR #Crypto #Binance #Trading #Signals #Bitcoin",2023-04-17 01:00:03+00:00,Crypto Hanma,en
1647755011298848768,"🟢🟢 The current price of one $MKR coin is: $799.5, +0.16433% change in the last hour, +2.71208% change in the last 24 hours. 24H Volume: $34,246,150. Market Cap: $720,395,027. #MKR #MakerDao",2023-04-17 00:13:03+00:00,MakerDao Live,en
1647753141088313344,"Track OVERSOLD RSI, MACD CROSSOVERS, PRICE INCREASES with https://t.co/LRb24FEYMt see where the market is moving before others! #BTC #ETH #CSPR #RPL #INJ #RNDR #ROSE #AVAX #SOL #ZIL #NEO #BNB #CHZ #ICP #LTC #SNX #MINA #FTM #MKR #ARB https://t.co/C3XTM1dpBk",2023-04-17 00:05:37+00:00,Adz Hickman,en
1647744357821186048,Last Trade #Signal #MKR 93.48% #SUSHI 8.02% #CRV 21.98% #ALICE 94.78% #UNI 44.51% #TOMO 31.68% $KAVA 64.95% $CVC 25.10% $VET 53.90% #SUSHI 76.65% All Details on Bio Total Profit 515.04%,2023-04-16 23:30:43+00:00,Trading Sweetie 🦋,en
1647744356801994756,Last Trade #Signal #MKR 93.48% #SUSHI 8.02% #CRV 21.98% #ALICE 94.78% #UNI 44.51% #TOMO 31.68% $KAVA 64.95% $CVC 25.10% $VET 53.90% #SUSHI 76.65% All Details on Bio Total Profit 515.04%,2023-04-16 23:30:42+00:00,Moon Girl 💃,en
1647744356772618242,Last Trade #Signal #MKR 93.48% #SUSHI 8.02% #CRV 21.98% #ALICE 94.78% #UNI 44.51% #TOMO 31.68% $KAVA 64.95% $CVC 25.10% $VET 53.90% #SUSHI 76.65% All Details on Bio Total Profit 515.04%,2023-04-16 23:30:42+00:00,AFD Traders,en
1647744356349095944,Last Trade #Signal #MKR 93.48% #SUSHI 8.02% #CRV 21.98% #ALICE 94.78% #UNI 44.51% #TOMO 31.68% $KAVA 64.95% $CVC 25.10% $VET 53.90% #SUSHI 76.65% All Details on Bio Total Profit 515.04%,2023-04-16 23:30:42+00:00,Arta,en
1647744355384295424,Last Trade #Signal #MKR 93.48% #SUSHI 8.02% #CRV 21.98% #ALICE 94.78% #UNI 44.51% #TOMO 31.68% $KAVA 64.95% $CVC 25.10% $VET 53.90% #SUSHI 76.65% All Details on Bio Total Profit 515.04%,2023-04-16 23:30:42+00:00,Trend Maker,en
1647740296074076160,"🟢🟢🟢🟢 The current price of one $MKR coin is: $798.62, +0.64207% change in the last hour, +3.48467% change in the last 24 hours. 24H Volume: $33,667,529. Market Cap: $719,577,775. #MKR #MakerDao",2023-04-16 23:14:34+00:00,MakerDao Live,en
1647737688726859776,#mkrusdt BUY BREAKOUT LONG 801.58 (25 USD) #MKR $MKR #Maker #cryptotrading https://t.co/N3vsgSD8FI,2023-04-16 23:04:13+00:00,M3GAB0T,en
1647736830563893250,Last Trade #Signal $BAKE 36.17% #MKR 78.63% $VET 5.01% $NEAR 29.32% $ADA 66.91% $BNX 79.06% $WAVES 74.22% $ARPA 87.35% $BLZ 0.78% $SAND 99.35% All Details on Bio Total Profit 556.83%,2023-04-16 23:00:48+00:00,AFD Traders,en
1647736830425460736,Last Trade #Signal $BAKE 36.17% #MKR 78.63% $VET 5.01% $NEAR 29.32% $ADA 66.91% $BNX 79.06% $WAVES 74.22% $ARPA 87.35% $BLZ 0.78% $SAND 99.35% All Details on Bio Total Profit 556.83%,2023-04-16 23:00:48+00:00,Arta,en
1647736828714156033,Last Trade #Signal $BAKE 36.17% #MKR 78.63% $VET 5.01% $NEAR 29.32% $ADA 66.91% $BNX 79.06% $WAVES 74.22% $ARPA 87.35% $BLZ 0.78% $SAND 99.35% All Details on Bio Total Profit 556.83%,2023-04-16 23:00:48+00:00,Moon Girl 💃,en
