TweetID,Tweet,CreatedTime,Language,Author,Category
1648488968529530880,📢 BREAKING: #MKR momentum shift detected at 782.9 on a 15min candle chart! Market strength is short for $MKR! 🚀    Follow @DyorTool for continuous updates. https://t.co/ocMMN7Wh3G,2023-04-19 00:49:32,en,DyorTool,Sexism
1648479333097574401,"🟢🟢 The current price of one $MKR coin is: $790.07, +0.64447% change in the last hour, +1.18535% change in the last 24 hours.  24H Volume: $28,079,196. Market Cap: $712,102,718.  #MKR #MakerDao",2023-04-19 00:11:14,en,MakerDaoNews,Sexism
1648478066749079557,[SELL SIGNAL]  MKRUSDT (4h)  Bearish divergence with 4 interval confirmations  $MKR #MKR,2023-04-19 00:06:13,en,dashfit_signal,Sexism
1648476825226723331,#mkrusdt BUY BREAKOUT LONG 792.05 (25 USD) #MKR $MKR #Maker #cryptotrading https://t.co/pc7kJWozpa,2023-04-19 00:01:17,en,M3GAB0TDH,Sexism
1648464433923096576,"The current price of one $MKR coin is: $784.98, +0.00571% change in the last hour, +0.48188% change in the last 24 hours.  24H Volume: $28,156,692. Market Cap: $707,383,220.  #MKR #MakerDao",2023-04-18 23:12:02,en,MakerDaoNews,Sexism
1648449759525613571,"🟢🟢 The current price of one $MKR coin is: $786.62, +1.00113% change in the last hour, +0.79149% change in the last 24 hours.  24H Volume: $27,775,388. Market Cap: $708,509,460.  #MKR #MakerDao",2023-04-18 22:13:44,en,MakerDaoNews,Sexism
1648446031934418944,📉#Sell!📉 🔥RSI over 85!🔥 [#Bybit] 👇 Recommendation: #Short 📊Ticker: #MKRUSDT📊 5-minute Candle Last Price: 790.5 RSI: 85.4  🔥Powered by #ChatGPT🔥  $MKR #MKR #バイビット #바이비트 https://t.co/zx3Ly5TorO,2023-04-18 21:58:55,en,bitone_great,Sexism
1648436609032032257,#MKR #MKRimg : 1hour 1min sri low 2023-04-19 06:21:28.546776 https://t.co/hl4D8WfkPn,2023-04-18 21:21:28,en,bitcoin_bot369,Sexism
1648433930511740930,"The current price of one $MKR coin is: $777.75, +0.64428% change in the last hour, -0.66427% change in the last 24 hours.  24H Volume: $27,715,996. Market Cap: $700,870,602.  #MKR #MakerDao",2023-04-18 21:10:50,en,MakerDaoNews,Sexism
1648428435956703233,🧐 Keep a close watch on #MKR - a momentum shift is happening at 779.3 on a 15min candle chart. 💪 $MKR is now long territory!     Follow @DyorTool https://t.co/DEKa2FJ9kI,2023-04-18 20:49:00,en,DyorTool,Sexism
