Tweet ID,Tweet,Created Time,Language
1648458223060676608,"@Lindsay3668 @KonstantinKisin It only causes men to commit suicide at 4 to 10 times the rate as women. 
One example: divorced me commit suicide 10x the rate of divorced women - British Medical Journal 
#FeminismIsCancer",2023-04-18 22:47:21+00:00,en
1648430354129358849,"Explain this
@odvss
@VictimsComm
@CommissionerDA
@LDNVictimsComm
@bindelj
@womensaid
@SheraFamily
@stellacreasy
@TaiwoOwatemi
@DrProudman
@DrJessTaylor
@DrEmmaKatz
@BarnettAdrienne
@s_ayebkarlsson
@FiLiAHagueMums
@KimFawcett11
@Jaimi_Shrive

#SexTraffickers #FeminismIsCancer https://t.co/oXKNyvsqaZ",2023-04-18 20:56:37+00:00,en
1648413515449810944,"@Lindsay3668 @KonstantinKisin I wouldn't disagree with much of what you say, but #FeminismIsCancer opened the door to this many years ago, and very very few women complained/spoke for men/males when women took over all male spaces and later girls took over Boy Scouts even
Not a peep",2023-04-18 19:49:42+00:00,en
1648406125895909379,@SeptimusSulla This is why #FeminismIsCancer,2023-04-18 19:20:20+00:00,en
1648383093353455617,"My #SNP tweet during the pandemic - a #DevolutionGovernment is to represent for that area to #UKGov &amp; then TOLD what they can have - I NEVER want to hear from them especially a repugnant #feminist like @NicolaSturgeon @theSNP - UNELECTABLE

#FeminismIsCancer #NicolaSturgeon https://t.co/xhqA8WdzVz",2023-04-18 17:48:49+00:00,en
1648365285211258880,"I can't handle this #RR..

#Wymen spend about 90% of their energy on proving themselves weak... the remaining 10% on blaming the #Patriarchy

That's why they always plead for maintenance and alimony in the courts &amp; shamelessly BEG from Men.

#Mentoo 
#Feminist 
#FeminismIsCancer https://t.co/VpXrsSHtsI",2023-04-18 16:38:03+00:00,en
1648352371293163521,"@KTLA #FatherlessHomes

This is what a #matriarchy looks like.

#FeminismIsCancer",2023-04-18 15:46:44+00:00,en
1648345699547840512,"We won't see an article about women interfering  constantly where they have no business, like men's health or how men can't have any safe spaces without some woman crying discrimination &amp; encroaching on it. 

No let's defend hate speech instead. 

#FeminismIsCancer https://t.co/wBW8C0gJfY",2023-04-18 15:20:14+00:00,en
1648342847093972993,"@goddeketal Fatherlessness, #FeminismIsCancer feminized society and way too many single mothers are to blame for this &amp; much more

Women should have spoken out long ago

""And if you think tough men are dangerous, wait until you see what weak men are capable of."" @jordanbpeterson",2023-04-18 15:08:54+00:00,en
1648331026794696704,"""Men have enzoyed freedom and Pride"", 
""Husband gives space "" tells more about you than him.

#Narcissist
#FeminismIsCancer . https://t.co/HBoYze7xSj",2023-04-18 14:21:55+00:00,en
1648329357377802246,"The dark reality of feminism.

#FeminismIsCancer 

Today it's me next will be you or your closed one.

Beware. https://t.co/k9VEYqAml8",2023-04-18 14:15:17+00:00,en
1648329289819889666,"@MichaelGLFlood @GwenEvaBearLuvs @TheGayChrist @men_are_human @UN_MenAndBoys @JACBailey1 @MisandryE @PhilMitchell83 You've proven yourself to be Radical
Equating MRAs to White Supremacists is just another non-thinking #leftist throwing out conflating insults to give the appearance of legitimacy. Oldest trick in the book, borrowed from #FeminismIsCancer practices
EVIL is Bad
Men are Good",2023-04-18 14:15:01+00:00,en
1648304474958581761,"@kniffol @yoko67 I'm Thinking about their dads now
If they were D!ckfree, these girls would not be there and world would have been moch more improved wothout such extremists 

#Karma
#FeminismIsCancer 

@SriRudyBABA",2023-04-18 12:36:25+00:00,en
1648299406754709505,"Let's wake up as many people as possible. Please share. 
#FeminismIsCancer #Feminism https://t.co/ypCIqZafXX",2023-04-18 12:16:17+00:00,en
1648298252670779396,"@radicalcntrist @EmJaRo2 @KonstantinKisin Notice how broads like this always have that vibe of “NO I AM PERFECTLY HAPPY YOU GOT-DAMNED IDJIT!!!”? 

They are deeply unhappy, and dedicated to making their fellow females equally unhappy by pimping for feminism. #FeminismIsCancer",2023-04-18 12:11:41+00:00,en
1648296671779115008,"@GoldingBF What the hell is this?

Has the British Judiciary and British Government lost its br@ins?

#FeminismIsCancer
#Wokes

SUCH A SHAME @RishiSunak

@RoyalFamily @NCPCR_ @KanoongoPriyank @realsiff @NCMIndiaa @Sarmad07185646 @Sarmad07185646 @stariqs @Men_Helpline @barkhatrehan16 @RajNgc https://t.co/aOtXwN43gP",2023-04-18 12:05:25+00:00,en
1648295613472145408,@TopGirlKeiko She thinks to defend fake women rights is to spread lies and noise to hate genuine masculine men #FeminismIsCancer,2023-04-18 12:01:12+00:00,en
1648288693227241475,"@MensRightsUnion Where are you @SwatiJaiHind plz come up with your narratives that women are not safe in delhi despite knowing the facts that "" 90% pickpockets at Delhi Metro are women,CISF , Hindustan https://t.co/hhNeLPM06n per #NCRB, about 74% of rape cases are false!  

#FeminismIsCancer",2023-04-18 11:33:42+00:00,en
1648286620074881032,"@DobbyDog555 It would have been a nightmare if it was a man

Would have been tagged a psycho, rapist and what not

#FeminismIsCancer 

@SwatiJaiHind 
@BrindaAdige 
@yogitabhayana",2023-04-18 11:25:28+00:00,en
1648272703504236546,"@GiaMMacool It's at the lowest levels since the late 1800s and still falling.
You can't stop equilibrium due to punishing marriage laws on men and a majority class of women who devalue themselves and men.
#FeminismIsCancer",2023-04-18 10:30:10+00:00,en
1648258280857427968,"Ans then Feminists say they are given unequal rights..

Basically they are given more than equal rights !!

#FeminismIsCancer 
#mentoo https://t.co/4rzSwlnEu2",2023-04-18 09:32:51+00:00,en
1648246602170003457,"Feminists before: We are strong women, we can work shoulder to shoulder with men, equal pay for equal work. 

Feminists now: I've sucked hundreds of cocks and swallowed literally gallons of the warm, sticky nectar, and I still need more.

#GemsofFeminsim 
#FeminismIsCancer",2023-04-18 08:46:27+00:00,en
1648245099632156676,Our justice system will not agree to what we say and prove because #FeminismIsCancer https://t.co/ktI68PhdCF https://t.co/To4Kaw8kaO,2023-04-18 08:40:29+00:00,en
1648201080818536452,"Men are awesome

#MenToo
#GenderBiasedLaws 
#FeminismIsCancer https://t.co/ibQvwUSsvh",2023-04-18 05:45:34+00:00,en
1648152997594300417,"A 40yr old woman in Indonesia is selling her house, but offers herself for marriage if the buyer wants.

Note: women are more respected &amp; safe in Islam.
#FeminismIsCancer https://t.co/AyjgW559lv",2023-04-18 02:34:30+00:00,en
1648152711760842752,"Isn't RW shokti doing the same thing?
#SisterSister
#FeminismIsCancer https://t.co/wcVjoIaW9Q",2023-04-18 02:33:22+00:00,en
1648148157308493831,"@ShitpostGate The day is coming...when they will all of a sudden""remember"".

#MeToo
#FeminismIsCancer",2023-04-18 02:15:16+00:00,en
1648134882608963585,@FightHaven It’s always a laughing matter when it’s happening to a man. #Hypocrisy #FeminismIsCancer,2023-04-18 01:22:31+00:00,en
1648083922004082688,"Instead of adopting #feminism, #muslimgirl should go back to islam because that's the only thing that guarantees their rights and honors them whereas feminism degrades her.

#Islam #Quran #FeminismIsCancer https://t.co/8IJdDMmkl1",2023-04-17 22:00:01+00:00,en
1648068212360355840,"@realsiff No one trusts anything in this country

#bananarepublic
#FeminismIsCancer
#Hypocrisy
#FutureTalibanState

If prostitution is legal, why arrest her?

Where's the proof of trafficking?

#ablanari
#ladkihoonladsaktihoon

READ⬇️

@PMOIndia @rashtrapatibhvn @HardeepSPuri @JohnBrittas https://t.co/c5abcM4LEj",2023-04-17 20:57:36+00:00,en
1648062281899560969,"@Surviving_LADa @court_said @PAcumbria Not only is @DrEmmaKatz @BarnettAdrienne @DrProudman @DrJessTaylor et al in their own words admitting to be in the #ChildAbuse business but #Gaslighting their victims like @Natillywolf is criminal

#FeminismIsCancer #RadFem #RadFems #ParentalAlienation #FamilyCourt",2023-04-17 20:34:02+00:00,en
1648056631475818514,"#ProLife TRUTH 

#AbortionIsMurder #prochoice #FeminismIsCancer https://t.co/iOsgP4VMyH",2023-04-17 20:11:35+00:00,en
1648054961807282202,"@Natillywolf question the messenger - #Feminists are not your friend - mothers &amp; children are Acceptable Collateral Damage 

#FeminismIsCancer @DrEmmaKatz 

#RadFem #DrEmmaKatz #RadFems 

https://t.co/QTyYvdFY99",2023-04-17 20:04:56+00:00,en
1648053831748538401,"@DrEmmaKatz by her own words is in the #ChildAbuse business - imagine admitting you are a #ChildAbuser 

#ParentalAlienation #FamilyCourt 

#FeminismIsCancer #RadFem #RadFems #DrEmmaKatz https://t.co/yaBIQmEMLK",2023-04-17 20:00:27+00:00,en
1648052689287237641,"@Firebird_psych @court_said @DeboraMontesoro @SheraFamily are in the #ChildAbuse business

#ParentalAlienation #FamilyCourt 
#FeminismIsCancer #RadFem #RadFems #SheraFamily 

https://t.co/ArDZZTaODk",2023-04-17 19:55:55+00:00,en
1648051690325549057,"@AngieUn27401972 @DeboraMontesoro Angie

Whatever pain you are going through good people have empathy - #Feminism has NONE &amp; is in the #ChildAbuse business 

It is better to remain silent &amp; be thought a fool than to speak &amp; to remove all doubt 

#FeminismIsCancer #RadFem #RadFems #ParentalAlienation #FamilyCourt",2023-04-17 19:51:56+00:00,en
1648047820245483520,"@DeboraMontesoro @KimFawcett11 #KimFawcett is a Neo-Nazi #feminist Debora who by her own words is in the #ChildAbuse business - void of ethical moral &amp; intellectual values who's NEVER had an original thought

Not worthy of your exemplary #egalitarian time

#FeminismIsCancer #RadFem #RadFems https://t.co/7VKZVwIVB8",2023-04-17 19:36:34+00:00,en
1648039969645281280,"Typical ""High Value"" women in 2023.... humanity is doomed...

#egirl #WomenEmpowerment #FeminismIsCancer https://t.co/9CL7mpSmes",2023-04-17 19:05:22+00:00,en
1648038822440239105,"@MrAndyNgo #FatherlessHomes

This is what a #matriarchy looks like 

#FeminismIsCancer",2023-04-17 19:00:49+00:00,en
1648033730202853376,"Wymen helping other Wymen to be empowered 🤣🤣🤣

#FeminismIsCancer 
#GenderBiasedLaws 
#MenToo https://t.co/P2ZH1bjaQv",2023-04-17 18:40:34+00:00,en
1648014615308017684,"@SophieShay @JaniceFiamengo @BigPicture2012 ""Masculine republics give way to feminine democracies, and feminine democracies give way to tyranny."" -Aristotle.
Aristotle was a smart dude. Maybe the ""women's right to vote"" is why we are sinking into tyranny today.
#FeminismIsCancer",2023-04-17 17:24:37+00:00,en
1648006431134588930,"@HoneyBadgerBite @Kevinverted @rtbrockway I wonder if this accounts for all the hostility towards dad I ""was never home"" ""never helping out""... because he decided to go out and pay for everything.... oh wait I mean focus on ""his career rather than the children""

Smfh, #WhoreCulture  &amp; #FeminismIsCancer",2023-04-17 16:52:06+00:00,en
1648000954216730624,"Mediation will soon be recognized as a viable career opportunity: Justice Hima Kohli at IAMC Hyderabad's Mediation Day event 🙆‍♂️

#Mediation #career #opportunity #Justice #IAMC #Hyderabad #HimaKohli #FeminismIsCancer #MenToo #GenderBiasedLaws

Read story:  https://t.co/crhDmfwScr https://t.co/D2GjuB1cQt",2023-04-17 16:30:20+00:00,en
1647992905980866563,"Agreed. Save oneself first, cause even to be a hero, one needs to be alive. Men are already doing a lot. Men work hard and pay taxes which runs womens helpline 1090, Dial 100, CAW, Mahila Thana etc to protect women.

#MakeStrike #Feminism #feminismiscancer https://t.co/B7fP3HzRj4",2023-04-17 15:58:21+00:00,en
1647986311779995649,Sons of #bharat helps each other in this #feminismiscancer and #GenderBiasedLaws world https://t.co/GU5bGMakuF,2023-04-17 15:32:09+00:00,en
1647980463141560321,"@jonkay Translation: ""It's important that straight white men are excluded from Canadian culture.""
#feminismiscancer",2023-04-17 15:08:55+00:00,en
1647968172899803137,"What men goes through each day 🙆‍♂️

#FeminismIsCancer #GenderBiasedLaws #MenToo https://t.co/wZusz8Suls",2023-04-17 14:20:04+00:00,en
1647960439329013760,"Single mothers and feminists did this.

#SingleMoms #feminismiscancer 

https://t.co/oQSGCBGIum",2023-04-17 13:49:21+00:00,en
1647959320271675393,"Blame the #feminists  and have the guts to gain their respect on basis of your skill and stop playing victim card all the time.
#feminismiscancer",2023-04-17 13:44:54+00:00,en
1647958180297601031,"What #Feminists abhor &amp; won't admit is the POWER #femininity has

The power of ALL women throughout ALL of time reflected in everything from great works of art &amp; literature, music &amp; comedy 

#FeminismIsCancer #RadFem #RadFems #feminist #Feminism #coercivecontrol https://t.co/ZYcBUiHNVi",2023-04-17 13:40:22+00:00,en
