Tweet ID,Tweet,Created Time,Language
1648436186254553091,"@SecretaryPete Two things, can we get our Asian Americans to use turn signals? 
Can we get black Americans to drive like they have some goddamn sense? Alright, one more, old people, get the hell to the right lane, move over, we have places to be.",2023-04-18 21:19:47+00:00,en
1648428548229832704,"Lets just,
Leave our families, behind us,
Sonja.

rent an Chevrolet
And drive across Andalucia
We can  live on stock profits.

I cancel my asian wedding U abandon urs and we lead a forbidden, rebellious life few have experienced.",2023-04-18 20:49:26+00:00,en
1648416617133490176,"This Asian guy got 7.1k ppl watching him drive around a Honda Fit in Forza live on TikTok from his bedroom 😕
The internet is wild LOL",2023-04-18 20:02:02+00:00,en
1648396018873171968,"@Iranobserver01 I am sorry, but it's really hard to believe this. Either way, it means the self-sufficiency of the Iranian people continues to drive the country to a unique position in the West Asian market 👌",2023-04-18 18:40:11+00:00,en
1648391497933537280,"@tsuki_monarch no one knew it was you until you responded, for 1. 2; blood is natural unless sitting on a white comforter for a few days then bleach doesnt work. 3; you’re racist. making a “joke” abt how “asian people cant drive” or making comments on how “i’m only half korean so i dont count”",2023-04-18 18:22:13+00:00,en
1648381010671796225,"@Rammie24 @Ilegvm @DailyNoahNews We are Americans first.  Despite what we hear from the media, black, white, Asian, Hispanic, and whatever else hold more in common as Americans than we hold as differences.   Politicians and media drive us apart for ratings and power.",2023-04-18 17:40:33+00:00,en
1648369947683467265,"Drive a European or Asian nameplate vehicle? Beck/Arnley can help you find replacement parts made to OE specs, form and function. Start by using our part finder: https://t.co/cRgjUdm9la https://t.co/5KiZO1cE9K",2023-04-18 16:56:35+00:00,en
1648365293675200516,Nicca drive like a Asian teenager,2023-04-18 16:38:05+00:00,en
1648335988714790912,See an asian person drive one time and tell me they don't deserve social credit scores,2023-04-18 14:41:38+00:00,en
1648329233851138048,"7/ As the gaming industry continues to evolve, it will be fascinating to see how blockchain tech and #NFTs transform the gaming experience and drive Web3 gaming adoption, particularly in the influential and rapidly expanding Asian gaming market. 🌏💡🎮",2023-04-18 14:14:48+00:00,en
1648325541915680770,Rent control and state expropriation of landlords may be the most efficient techniques to drive entrepreneurial immigrants away from the Democratic Party. https://t.co/KdVm1xnLYB via @judgeglock and @RenuMukherjee1,2023-04-18 14:00:08+00:00,en
1648299777359003649,"Lake Drive Books announces launch day for Asian American Apostate: Losing Religion and Finding Myself at an Evangelical University. Congrats @rsokamoto!

Thx! to @muradavid @bradleyonishi @KeikoAgena @c_stroop @brchastain @JoLuehmann (and more)

https://t.co/ux6LwgnkMj https://t.co/pzS5OKTbJV",2023-04-18 12:17:45+00:00,en
1648287369102233600,"@RicksRambles This was working/middle class white folks' understanding of Asian cuisine in the 50s/early-60s.
Yeah, grew up with this.
Lived in suburbia, half-hour drive from the city. We had exactly one Asian restaurant at that time, no delivery. You went there &amp; sat or took home.
Every 2wks?",2023-04-18 11:28:27+00:00,en
1648256703308382209,"China is leading a surge in Asian coal imports well past the end of winter, an unseasonal move. Its decision to stock up on coal to drive its economic rebound is helping keep drybulk freight rates buoyant. 
 https://t.co/6O7kQzIDKb https://t.co/3PJMd64JZp",2023-04-18 09:26:35+00:00,en
1648251464135966720,"@CharlieKnoles @thechosenberg I think there's an Asian guy who did a youtube video about this too and plenty said yes. He would reject them afterwards on purpose though just to drive the ""funny"" part of the video in which he was a virgin, but the responses were real. He's ugly

https://t.co/22d9J8OiFc",2023-04-18 09:05:46+00:00,en
1648242618357235713,"""If recruitment continues on its current trajectory, it will take ... until 2053, to reach gender balance ... until 2061, to reach 46% Black, Asian and ethnic minority representation."" #CaseyReview #accountability @MetPoliceUK
https://t.co/IvtPnpgkJv https://t.co/X5srctIuEz",2023-04-18 08:30:37+00:00,en
1648238417174736896,"8/10: #USinvestors drive #Bitcoin, while Asian #investors dominate #Ethereum. A shift is happening, driven by flows.",2023-04-18 08:13:56+00:00,en
1648229511748624384,That’s why there is a big drive for African and Asian stories. It’s such an exciting time for diverse stories. #EnterStageWrite #Amplified https://t.co/b3zLVIpxSi,2023-04-18 07:38:32+00:00,en
1648228291784916994,@BFirstParty In an area which is Asian predominantly. They have their own laws. Just drive through the area and you’ll see how disrespectful they are.,2023-04-18 07:33:42+00:00,en
1648218656931995648,"“I love it here in Texas, you guys drive crazy here, you guys don’t change lanes, you can teach lessons” (@DJHansKim-Asian joke.) 😂😂😂",2023-04-18 06:55:24+00:00,en
1648197037807005698,This test is biased against Asian people. As is watching me drive a car,2023-04-18 05:29:30+00:00,en
1648188183119814658,"@Tr00peRR The crazy thing is that La Puente, where this incident occurred, is a 90% Mexican hood. These Sharkiesha's drive far out to the Mexican and Asian parts of LA County to do these robberies in their stolen cars.",2023-04-18 04:54:19+00:00,en
1648182840733884416,"@BDWilliams38 @WorldWarWang With all the Jewish nepotism in government, I think many of them are not that bright.
In the case of Blinken, didn't he just drive Russia right into the arms of China creating an Asian hyperpower?",2023-04-18 04:33:05+00:00,en
1648182062942244865,Gilas Pilipinas will embark on its redemption drive in the coming Southeast Asian Games in Cambodia without ace gunner RR Pogoy. https://t.co/8gytTOLaSi,2023-04-18 04:30:00+00:00,en
1648172748223528960,"@MysteryGrove because Asian women can’t drive, right? https://t.co/vjL7cvwcl9",2023-04-18 03:52:59+00:00,en
1648144915040198658,"@reina_kawaiii But what if I was?

(I wasn't. The nearest Applebees to me is too far away when I drive by two steakhouses, an Olive Garden, an Asian buffet, and three QuikTrips to get there)",2023-04-18 02:02:23+00:00,en
1648104090868785153,@ronmortgageguy The govt is running a Ponzi scheme. We need more and more people to fund the pension. Which gen will be left holding the bag? Immigration is used to drive labour cost down and housing price up. Affordable housing = tiny Asian style condos.,2023-04-17 23:20:10+00:00,en
1648101903148937221,"@dbongino You have to read what he is saying, he believes minorities do not drive well. He is making a racist statement about African-Americans, Hispanic Americans, Asian Americans and Native Americans.",2023-04-17 23:11:28+00:00,en
1648040474173665321,@JDunlap1974 So is he saying Asian people can’t drive?,2023-04-17 19:07:22+00:00,en
1648030490333687809,"@ClownWorld_ C'mon he left out Asians. We all know they are most likely to die because they can't drive. 

(Im Asian .. I get to say this)",2023-04-17 18:27:42+00:00,en
1648024707785166848,@JackPosobiec @butlerwesfire How is this any different than saying female Asian drivers can’t drive and cause wrecks,2023-04-17 18:04:43+00:00,en
1648017920998383641,@whhiwb @Kimberl40078754 @BBCWorld I'm Asian you IQ80 Muppet.  And white people most certainly don't commit the most crimes or mass shootings.  There are only 1.2 billion white people in existence. 1.7 billion blacks.  Mass shootings are 4 or more victims -- wanna tally up them drive byes?,2023-04-17 17:37:45+00:00,en
1648001273193730054,@kmcgair Don’t forget Asians.   SF Asian students got punished as much as anyone.    That helped drive recall of the 3 Woke school board members.,2023-04-17 16:31:36+00:00,en
1647998735870226432,what I would do to be able to drive rn I really want to go out and get asian food and then drive around the streets and the fields,2023-04-17 16:21:31+00:00,en
1647988277184528388,@Mcarroll84M @Simi_Miller @AdamInsane11037 @FearYourGods20 @TrueUnderDawg1 @CabooseEK Is also think it’s the world wide market. Many countries our Superhero’s don’t go over as well there as they do in other countries. Having the Kung Fu/Asian flare I’m sure helps drive the games in those markets. I’d think it more than 1  factor.,2023-04-17 15:39:58+00:00,en
1647966188645785603,"@gatewaypundit Yes, every day we white people go out with our cars, searching for black, brown, native, Asian, people to hit with our cars. It’s like a video game. Oh, if you can hit an old Asian person that’s double points; black child- bonus. Going to DRIVE to mall now. Wish me luck. SARCASM",2023-04-17 14:12:11+00:00,en
1647948869613789186,@GreeneyOfficial @ArthurGnohere @EssexPR Is your response to everyone that they are triggered? When you’re defending child rape gangs. Which are over 80% Asian. Check your hard drive.,2023-04-17 13:03:22+00:00,en
1647924573856251904,"@ZeekArkham @PeteButtigieg I agree with Pete on this one.. hear me out. Zeek, I’m black &amp; my wife is white. I drive 99% of the time &amp; we’ve gotten in 1 accident.

I was driving &amp; guess who hit us? An Asian lady. (Another minority)

If that’s not undeniable evidence roads are racist, don’t know what is.",2023-04-17 11:26:50+00:00,en
1647915854045106181,"Latest Report Available Now: Asian Steel Markets Drive Growth

At the end of March Kallanish held its Asia Steel Markets conference in Ho Chi Minh City...
Read the complete report:
https://t.co/InYxK36vkQ
#asm #hochiminhcity #asian #steel https://t.co/BzBJVvzOq6",2023-04-17 10:52:11+00:00,en
1647785393457184769,"To the cute Asian man that came through the drive thru today, if you’re reading this, I’m single.",2023-04-17 02:13:46+00:00,en
1647738740448669697,@asianbbclover Well I love asian women but none will talk to me im from Baltimore Maryland and looking for a girlfriend or future wife im 59 but looks young have a high sex drive and one long bbc that hangs down to my thigh send me a DM anytime,2023-04-16 23:08:23+00:00,en
1647718154502828032,my hair stylist said i couldn’t drive bc i’m asian and i still went back to her,2023-04-16 21:46:35+00:00,en
1647709441645748224,"@JesseKellyDC Is this a suggestion that POC can’t drive?
I mean, we all know that old Asian women are dangerous behind the wheel, but everyone non-white too?",2023-04-16 21:11:58+00:00,en
1647693964051378182,"@JackPosobiec More worthless pile of Horse shit from him. He knows nothing other than what he is fed. 
Racism? Well if your Black, Latino, Native, White or Asian, and you drink/drug and drive, or walk, you are guaranteed to become a hood ornament. After 20 years of responding to 911 .",2023-04-16 20:10:28+00:00,en
1647687557704974338,"@Mohammad12akib @Andrewwood17 I recall @RabinaKhan saying at a mayoral election hustings (at southern grove community hall) that the young local asian lads love to drive as if is a right of passage. 

I think the census data says about two thirds of households don't have access to a car.",2023-04-16 19:45:00+00:00,en
1647685488038248448,@ArneAlvarado I have an Asian friend in California from Vietnam that admits his race cannot drive.,2023-04-16 19:36:47+00:00,en
1647684256196616192,"@righty64 @ReturnNormalcy @CountryClubConZ The people who are motivated to drive miles to an unfamiliar school for a better education are precisely the people you want in your school.  In the past, these were Asian immigrants (though they usually moved).

But anyway, that’s not how most school choice programs work.",2023-04-16 19:31:53+00:00,en
