Tweet ID,Tweet,Created Time,Language
1648485609735065601,@MagicBelle1 So as to advance #WhiteGeNocide.,2023-04-19 00:36:11+00:00,en
1648470656718372864,@EvaVlaar It's about #WhiteGenocide. No other group is being bombarded with sterilization and miscegenation propaganda 24/7 365 days a year. https://t.co/JgQy7gzRRq,2023-04-18 23:36:46+00:00,en
1648465299409338368,"@guardian Where exactly are white people indigenous?

#WhiteGenocide https://t.co/mEB66QRG13",2023-04-18 23:15:29+00:00,en
1648464585589145600,"@TheEconomist When non-whites want to live in a white country they're called  migrants.

When whites want to live in a white country they're called racists.

""Anti-racist"" is a code word for #AntiWhite.

#WhiteGenocide",2023-04-18 23:12:38+00:00,en
1648441426492166145,@ImMeme0 This is what a race traitor looks like. She would be very quick to set her own race on fire if it meant getting points with those feral people. #whitelivesmatter #whitegenocide #whitehate,2023-04-18 21:40:37+00:00,en
1648440726739648515,@Caesar7Louis @AlexanderABoss @nypost we know! #whitegenocide they hate us ‘cause they ain’t us,2023-04-18 21:37:50+00:00,en
1648421178510561280,@vdare sounds like #whitegenocide,2023-04-18 20:20:09+00:00,en
1648400004489580544,"Will all the people who donated to Ralph Yarl also donate to Kaylin Gillis? Probably not because Kaylin is white.

#racism #younggirls #KaylinGillis #RalphYarl #WhiteGeNocide #BlackLivesMatter",2023-04-18 18:56:01+00:00,en
1648398820311732226,"We are currently in a war to preserve freedom, Western Civilization, non-politicized science, and traditional family values. #1A #2A #WhiteHatred #AntiWhitism #WhiteGenocide #prowhite #antiwhite https://t.co/KnT921ispm",2023-04-18 18:51:19+00:00,en
1648367925005524994,#Fascism. #Fascists are terrified of #whites. And rightly so--we slaughtered them in WWII. #WhiteHatred #AntiWhitism #WhiteGenocide #prowhite #antiwhite https://t.co/CtnX37Jgbc,2023-04-18 16:48:33+00:00,en
1648366118493470722,"2/2
Margaret left behind her daughter and two grandchildren.

#Whitelivesmatter 
#WLM
#Whitegenocide",2023-04-18 16:41:22+00:00,en
1648352909644427264,@BreitbartNews Replace all white people is always the answer. I thought the white replacement theory was crazy. I don’t now. #WhiteGenocide,2023-04-18 15:48:53+00:00,en
1648302571457765377,"#Disneyland #Useless #Worthless #Evil #PureEvil #blackagainstwhite #EthnicEuropean #antiwhite #AntiWhiteism #WhiteGenocide #blackcrime 

Disneyland; blacks steal White kid's wagon, violent when confronted

https://t.co/W9IrKYCwfP https://t.co/J3qIEX8HqQ",2023-04-18 12:28:51+00:00,en
1648288786252537856,"@DrEmMcDonnell @hrw @katymfallon @g_christides If whites didn't belong in Africa and Asia why should non-whites be in white countries?

#WhiteGenocide",2023-04-18 11:34:05+00:00,en
1648282955725373442,"@spikedonline @rakibehsan The white British need to be more racist, not less racist.

Stop cowering, stop whimpering, stop appeasing and grovelling to the leftists.

Stand up and defend your country before it's all too late.

#Brexit #antiwhite #Labour #Tories #nationalists #Starmer #Sunak #WhiteGenocide https://t.co/5mbSsr6joN",2023-04-18 11:10:54+00:00,en
1648282773025587200,"The white British need to be more racist, not less racist.

Stop cowering, stop whimpering, stop appeasing and grovelling to the leftists.

Stand up and defend your country before it's all too late.

#Brexit #antiwhite #Labour #Tories #nationalists #Starmer #Sunak #WhiteGenocide https://t.co/yrI5oOeXjJ",2023-04-18 11:10:11+00:00,en
1648276746527965185,"@FPhumanrights @amnestyPL If whites didn't belong in Africa and Asia why should non-whites be in white countries?

#WhiteGenocide",2023-04-18 10:46:14+00:00,en
1648274604648026112,@realstewpeters Every single video of a white or Asian girl getting beat up they said they were called the N Word. They just like making videos of beating someone to death 💀 #whitegenocide and I’m Jewish but not stupid as hell,2023-04-18 10:37:43+00:00,en
1648274517247008769,Every single video of a white or Asian girl getting beat up they said they were called the N Word. They just like making videos of beating someone to death 💀 #whitegenocide and I’m Jewish but not stupid as hell,2023-04-18 10:37:23+00:00,en
1648274477493485569,"@guardiannews Racial inequality: everyone gets a homeland but white people.

#WhiteGenocide",2023-04-18 10:37:13+00:00,en
1648274165093285888,@RetirednMad @CNN That’s a lie. Every single video of a white or Asian girl getting beat up they said they were called the N Word. They just like making videos of beating someone to death 💀 #whitegenocide and I’m Jewish but not stupid as hell,2023-04-18 10:35:59+00:00,en
1648272857829367809,"@guardian Where exactly are white people indigenous?

#WhiteGenocide https://t.co/eNfaxlAATo",2023-04-18 10:30:47+00:00,en
1648272659543740424,The Far Right attack Humza Yousaf and Sadiq Khan for the smallest misstep yet are strangely silent when its Rishi Sunak. What an odd narrative to follow!  #GBNews #RishiSunak #HumzaYousaf #SadiqKhan #Sadiqout #Tories #Farage #UKIP #WhiteGeNocide #Londonistan #BrokenBritain https://t.co/YD416pWIy5,2023-04-18 10:30:00+00:00,en
1648267642736615424,"@DiarmaidOCon #WhiteGeNocide #NoWhiteGuilt 
We Irish the first slaves not the Africans,who traded their own people for goods
Also responsible for the taking of over 2million whites from Europe including entire Irish village's into slavery to africa &amp; Middle East where,slavery exists today.",2023-04-18 10:10:04+00:00,en
1648253981095874560,"@DrRosena @wirrallabour Commie #Labour stands for 

🔴 More bankrupt socialism 
🔴 Higher taxes ££££
🔴 Open borders
🔴 More diversity
🔴 Anti white policies 
🔴 Anti white men

#Starmer #feminists #Brexit #antiwhite #WhiteGenocide #England #misandrists https://t.co/fypEUEYCNr",2023-04-18 09:15:46+00:00,en
1648253850933968898,"Commie #Labour stands for 

🔴 More bankrupt socialism 
🔴 Higher taxes ££££
🔴 Open borders
🔴 More diversity
🔴 Anti white policies 
🔴 Anti white men

#Starmer #feminists #Brexit #antiwhite #WhiteGenocide #England #misandrists https://t.co/aZN6Xjyhcc",2023-04-18 09:15:15+00:00,en
1648240109475737600,"#whitegenocide #loxist #loxism #loxists #AntiWhiteism #ViolenceAgainstWhites #Violence #WhitesArePeopleToo #WhiteVictims #immigration 

Zio-Labour Party lures non-whites into Wales w $$$$

https://t.co/xzGrN0h9vE",2023-04-18 08:20:39+00:00,en
1648230742374359040,"#WhiteGenocide #AntiWhiteism #getawayfromthem #ViolenceAgainstWhites #Violence #WhitesArePeopleToo #WhiteVictims #darkcrime 

13-y/o gunned down in cold-blood

White victim this time --- &gt; https://t.co/BCvOSOt5gp",2023-04-18 07:43:26+00:00,en
1648229927815348225,"#LuciaBremer #DylanWilliams #HenricoCounty #VA #Virginia #Evil #PureEvil #genocide #whitegenocide #blackcrime #ScottAdamsWasRight #blackviolence #BlackOnWhiteViolence #OutOfControl  

13-y/o gunned down in cold-blood

White victim this time --- &gt; https://t.co/iaTNJj9dZb",2023-04-18 07:40:12+00:00,en
1648221120167030785,"#blackboyfriend #coalburner #interraciallove #racismsaveslives #genocide #whitegenocide #EthnicEuropean #antiwhite #AntiWhiteism #WhiteGenocide #blackcrime #ScottAdamsWasRight #blackviolence 

About 31 black on White homicides March 2023

https://t.co/3IA3EaHfwI https://t.co/HsqzBukpf0",2023-04-18 07:05:12+00:00,en
1648216458172743681,"Group of black people attack an unarmed white women in Chicago 4/16/2023

#whitegirls #WhiteGeNocide #BlackPeople #ATTACK #Chicago https://t.co/YuUKGQFLSI",2023-04-18 06:46:40+00:00,en
1648171408021659648,"This is so sad... 😟😟😟

#WhiteGenocide #WhitePeople https://t.co/RiLwU5RBhR",2023-04-18 03:47:39+00:00,en
1648159316392722432,"How's that diversity working out for you white people? This white woman, who looks terrified, is assaulted by a group of black thugs. Why are there no white men standing up and protecting our women and children? #BlackOnWhiteCrime #WhiteGenocide #WhiteLivesMatter #Whites #White https://t.co/7opuS6tIbf",2023-04-18 02:59:37+00:00,en
1648148672268599296,"#HateCrime #blackagainstwhite #EthnicEuropean #antiwhite #AntiWhiteism #WhiteGeNOcide #blackcrime #ScottAdamsWasRight #blackviolence 

Chicago; black-attack; White woman https://t.co/uxlzBtLJUe",2023-04-18 02:17:19+00:00,en
1648139278034018306,@InsaleZ Bloodbath. very sad #whitegenocide,2023-04-18 01:39:59+00:00,en
1648113383105875969,"@MattWalshBlog This is their true feral colours, a bunch of animals. #whitehate #whitegenocide #whitelivesmatter https://t.co/SNbJjtyBxx",2023-04-17 23:57:05+00:00,en
1648110438880624640,"@LanaLokteff They act like feral animals because they are raised that way, thats their culture and thats why they won’t ever achieve something without taking from white people. #whitehate #whitegenocide https://t.co/aNPyOYfHBj",2023-04-17 23:45:23+00:00,en
1648106621522915328,"@KingJames 

The man hates white people.
The man is a F**king Racist!!!! 

#whitelivesmatter #WhiteGeNocide https://t.co/X4PYBJRIZZ",2023-04-17 23:30:13+00:00,en
1648102254317109259,"Please watch this. Then explain to me, ""Why?""

#MAGA #MAGAts #Truth #TruthSocial #WhiteWomen #WhiteTwitter #BlackLivesMAGA #MAGACult #MAGAMoron #MAGAMorons #Whiteboys #DNA #AmericaFirst #WhiteSupremacy? #WhiteGeNocide #America #BlackRepublicans #FoxNews

https://t.co/saRS2IZFAj",2023-04-17 23:12:52+00:00,en
1648083463164280832,"“Diversity” means chasing down White people. “Diversity” is a code word for White Genocide.

#AntiWhite #WhiteGenocide https://t.co/8AkjrvzLy7",2023-04-17 21:58:12+00:00,en
1648073669472669698,"No white male. #WhiteGeNocide 
White men don’t exist in the building game. https://t.co/Q8P1JZwa5V",2023-04-17 21:19:17+00:00,en
1648072659060629509,No white male. #WhiteGeNocide https://t.co/D6ugZejWNQ,2023-04-17 21:15:16+00:00,en
1648031560581410816,"2/2 

The woman’s condition is unknown at this time. 

#whitelivesmatter 
#Wlm
#Whitegenocide",2023-04-17 18:31:57+00:00,en
1648024544240709633,"#EthnicEuropean make up 6.5% of the world population. This is replacement. The Great Replacement is real. 

#EthnicEuropeans  #GreatReplacement #WhiteGenocide #EuropeanGenocide",2023-04-17 18:04:04+00:00,en
1647970020608147456,"""When he failed, he pulled a gun and fired one time, striking Lovell in the chest.""

#whitelivesmatter 
#WLM
#Whitegenocide",2023-04-17 14:27:25+00:00,en
1647962007398645765,"QUIT BLAMING BLACK PEOPLE, they are not the ones ramming race mixing down white people's throats it's the white traitors and the Jews that are doing it. #Jews #single #alone #racemixing #WhiteGeNocide #Whiteunity GOOGLE FOR PROOF!!! https://t.co/lmzBnDPdbI",2023-04-17 13:55:34+00:00,en
1647934131832074241,"The British birth rate has declined almost 14% (by design) in the last 10 years or so, while at the same time we are being flooded by millions of third world savages from Africa and Asia.

This is how you replace a population without most of them even noticing. #WhiteGenocide",2023-04-17 12:04:48+00:00,en
1647880333163986944,"Waiting for the ADL to call out this hate. They won’t because they are the ones doing the spitting .

#Jews 
#Jesus
#AntiWhite
#AntiAryan
#AntiChrist
#Christian
#Church 
#Nuns
#MAGA
#Racism
#Racists
#WhiteTwitter
#WhiteGenocide
#WhiteLivesMatter
#JewishPrivilege https://t.co/rDYiaw8Z1l",2023-04-17 08:31:02+00:00,en
1647865813100281856,"#AntiWhiteism #WhiteGenocide #TheNoticing #Democrats #DemoRats #Rinos #SecureTheBorder #NoBorders #OpenBorders

Border jumpers into border patrol agents!!! https://t.co/ODuonkKoUZ",2023-04-17 07:33:20+00:00,en
1647865699405279233,"#IsraelIsAJewishOnlyState #AmericaOpenToAll #DestructionViaImmigration #Invasion #ImmigrationInvasion #genocide #whitegenocide #loxist #loxism #loxists #EthnicEuropean #antiwhite 

Border jumpers into border patrol agents!!! https://t.co/joFnnCLsdT",2023-04-17 07:32:53+00:00,en
1647812991218245632,"@MarioNawfal This guy would love to see #Whitegenocide 

Racist trash",2023-04-17 04:03:26+00:00,en
